Timestamp(ms),Current(uA),D0-D7
1201.14,259.924,00000000
1201.15,258.600,00000000
1201.16,260.365,00000000
1201.17,259.924,00000000
1201.18,258.600,00000000
1201.19,259.482,00000000
1201.2,258.600,00000000
1201.21,260.806,00000000
1201.22,258.600,00000000
1201.23,258.159,00000000
1201.24,258.159,00000000
1201.25,256.394,00000000
1201.26,257.276,00000000
1201.27,258.159,00000000
1201.28,256.394,00000000
1201.29,257.276,00000000
1201.3,256.394,00000000
1201.31,259.041,00000000
1201.32,258.600,00000000
1201.33,256.835,00000000
1201.34,254.630,00000000
1201.35,254.189,00000000
1201.36,253.748,00000000
1201.37,255.512,00000000
1201.38,256.394,00000000
1201.39,257.276,00000000
1201.4,259.924,00000000
1201.41,262.572,00000000
1201.42,261.689,00000000
1201.43,262.131,00000000
1201.44,260.365,00000000
1201.45,258.600,00000000
1201.46,258.600,00000000
1201.47,259.041,00000000
1201.48,258.159,00000000
1201.49,259.482,00000000
1201.5,259.041,00000000
1201.51,260.365,00000000
1201.52,259.924,00000000
1201.53,261.248,00000000
1201.54,260.365,00000000
1201.55,260.806,00000000
1201.56,256.835,00000000
1201.57,254.189,00000000
1201.58,254.189,00000000
1201.59,253.308,00000000
1201.6,252.426,00000000
1201.61,252.426,00000000
1201.62,251.985,00000000
1201.63,252.426,00000000
1201.64,255.512,00000000
1201.65,253.748,00000000
1201.66,255.071,00000000
1201.67,257.276,00000000
1201.68,259.924,00000000
1201.69,257.717,00000000
1201.7,256.394,00000000
1201.71,255.071,00000000
1201.72,259.041,00000000
1201.73,260.806,00000000
1201.74,258.600,00000000
1201.75,257.276,00000000
1201.76,255.512,00000000
1201.77,255.512,00000000
1201.78,255.512,00000000
1201.79,256.394,00000000
1201.8,257.717,00000000
1201.81,314.456,00000000
1201.82,378.483,00000000
1201.83,380.734,00000000
1201.84,375.783,00000000
1201.85,369.038,00000000
1201.86,364.546,00000000
1201.87,358.710,00000000
1201.88,355.122,00000000
1201.89,349.744,00000000
1201.9,348.400,00000000
1201.91,344.818,00000000
1201.92,337.660,00000000
1201.93,332.297,00000000
1201.94,328.278,00000000
1201.95,322.032,00000000
1201.96,319.357,00000000
1201.97,318.020,00000000
1201.98,317.574,00000000
1201.99,314.456,00000000
1202,318.020,00000000
1202.01,316.238,00000000
1202.02,313.565,00000000
1202.03,312.229,00000000
1202.04,312.229,00000000
1202.05,311.339,00000000
1202.06,313.565,00000000
1202.07,310.894,00000000
1202.08,310.004,00000000
1202.09,307.334,00000000
1202.1,307.334,00000000
1202.11,304.665,00000000
1202.12,304.665,00000000
1202.13,302.887,00000000
1202.14,304.221,00000000
1202.15,304.665,00000000
1202.16,302.442,00000000
1202.17,302.442,00000000
1202.18,300.220,00000000
1202.19,299.776,00000000
1202.2,297.555,00000000
1202.21,299.776,00000000
1202.22,298.443,00000000
1202.23,299.332,00000000
1202.24,299.776,00000000
1202.25,297.111,00000000
1202.26,297.999,00000000
1202.27,295.335,00000000
1202.28,294.003,00000000
1202.29,295.335,00000000
1202.3,294.891,00000000
1202.31,294.003,00000000
1202.32,294.891,00000000
1202.33,294.891,00000000
1202.34,296.667,00000000
1202.35,297.111,00000000
1202.36,297.111,00000000
1202.37,296.667,00000000
1202.38,295.779,00000000
1202.39,292.672,00000000
1202.4,290.010,00000000
1202.41,287.349,00000000
1202.42,289.123,00000000
1202.43,289.123,00000000
1202.44,287.349,00000000
1202.45,284.246,00000000
1202.46,282.917,00000000
1202.47,283.360,00000000
1202.48,282.917,00000000
1202.49,282.917,00000000
1202.5,283.360,00000000
1202.51,284.689,00000000
1202.52,287.349,00000000
1202.53,282.917,00000000
1202.54,280.702,00000000
1202.55,280.702,00000000
1202.56,282.031,00000000
1202.57,283.360,00000000
1202.58,281.145,00000000
1202.59,281.588,00000000
1202.6,285.132,00000000
1202.61,287.349,00000000
1202.62,289.123,00000000
1202.63,287.792,00000000
1202.64,287.349,00000000
1202.65,287.792,00000000
1202.66,285.576,00000000
1202.67,286.906,00000000
1202.68,285.576,00000000
1202.69,281.588,00000000
1202.7,280.702,00000000
1202.71,278.931,00000000
1202.72,280.259,00000000
1202.73,277.603,00000000
1202.74,276.718,00000000
1202.75,277.160,00000000
1202.76,277.603,00000000
1202.77,277.160,00000000
1202.78,275.390,00000000
1202.79,274.948,00000000
1202.8,274.948,00000000
1202.81,275.390,00000000
1202.82,274.948,00000000
1202.83,276.718,00000000
1202.84,280.702,00000000
1202.85,280.259,00000000
1202.86,278.488,00000000
1202.87,278.045,00000000
1202.88,279.374,00000000
1202.89,280.702,00000000
1202.9,278.488,00000000
1202.91,276.718,00000000
1202.92,273.178,00000000
1202.93,273.178,00000000
1202.94,270.525,00000000
1202.95,269.199,00000000
1202.96,270.083,00000000
1202.97,266.989,00000000
1202.98,267.431,00000000
1202.99,267.873,00000000
1203,270.525,00000000
1203.01,268.315,00000000
1203.02,268.315,00000000
1203.03,267.431,00000000
1203.04,266.105,00000000
1203.05,264.338,00000000
1203.06,269.641,00000000
1203.07,272.293,00000000
1203.08,270.525,00000000
1203.09,270.967,00000000
1203.1,272.736,00000000
1203.11,269.641,00000000
1203.12,268.757,00000000
1203.13,268.315,00000000
1203.14,268.757,00000000
1203.15,267.873,00000000
1203.16,268.757,00000000
1203.17,268.757,00000000
1203.18,269.641,00000000
1203.19,268.315,00000000
1203.2,267.431,00000000
1203.21,267.873,00000000
1203.22,266.105,00000000
1203.23,266.105,00000000
1203.24,265.664,00000000
1203.25,266.105,00000000
1203.26,264.338,00000000
1203.27,264.780,00000000
1203.28,264.338,00000000
1203.29,263.455,00000000
1203.3,262.572,00000000
1203.31,264.338,00000000
1203.32,263.897,00000000
1203.33,264.338,00000000
1203.34,264.780,00000000
1203.35,263.897,00000000
1203.36,263.014,00000000
1203.37,262.131,00000000
1203.38,263.897,00000000
1203.39,266.105,00000000
1203.4,265.664,00000000
1203.41,266.989,00000000
1203.42,266.547,00000000
1203.43,265.222,00000000
1203.44,262.572,00000000
1203.45,260.806,00000000
1203.46,259.482,00000000
1203.47,259.041,00000000
1203.48,257.276,00000000
1203.49,260.365,00000000
1203.5,261.248,00000000
1203.51,260.806,00000000
1203.52,261.248,00000000
1203.53,262.131,00000000
1203.54,263.014,00000000
1203.55,263.014,00000000
1203.56,261.689,00000000
1203.57,262.131,00000000
1203.58,261.689,00000000
1203.59,259.924,00000000
1203.6,258.600,00000000
1203.61,256.394,00000000
1203.62,254.630,00000000
1203.63,255.512,00000000
1203.64,259.041,00000000
1203.65,261.248,00000000
1203.66,259.924,00000000
1203.67,259.924,00000000
1203.68,259.041,00000000
1203.69,260.806,00000000
1203.7,262.131,00000000
1203.71,264.338,00000000
1203.72,264.780,00000000
1203.73,262.131,00000000
1203.74,261.248,00000000
1203.75,259.041,00000000
1203.76,259.924,00000000
1203.77,257.276,00000000
1203.78,257.717,00000000
1203.79,255.071,00000000
1203.8,255.953,00000000
1203.81,254.630,00000000
1203.82,257.276,00000000
1203.83,257.276,00000000
1203.84,257.276,00000000
1203.85,256.835,00000000
1203.86,259.041,00000000
1203.87,260.365,00000000
1203.88,258.159,00000000
1203.89,258.159,00000000
1203.9,255.071,00000000
1203.91,255.953,00000000
1203.92,255.512,00000000
1203.93,254.189,00000000
1203.94,257.276,00000000
1203.95,256.835,00000000
1203.96,257.276,00000000
1203.97,256.835,00000000
1203.98,255.071,00000000
1203.99,255.071,00000000
1204,257.276,00000000
1204.01,255.071,00000000
1204.02,255.512,00000000
1204.03,258.159,00000000
1204.04,259.482,00000000
1204.05,257.276,00000000
1204.06,256.394,00000000
1204.07,255.953,00000000
1204.08,255.512,00000000
1204.09,254.189,00000000
1204.1,255.071,00000000
1204.11,258.600,00000000
1204.12,256.835,00000000
1204.13,258.600,00000000
1204.14,260.365,00000000
1204.15,260.806,00000000
1204.16,261.248,00000000
1204.17,260.806,00000000
1204.18,261.689,00000000
1204.19,259.924,00000000
1204.2,258.600,00000000
1204.21,259.041,00000000
1204.22,261.689,00000000
1204.23,262.572,00000000
1204.24,262.131,00000000
1204.25,260.365,00000000
1204.26,259.482,00000000
1204.27,259.482,00000000
1204.28,258.600,00000000
1204.29,259.041,00000000
1204.3,255.071,00000000
1204.31,255.512,00000000
1204.32,257.276,00000000
1204.33,256.835,00000000
1204.34,258.600,00000000
1204.35,260.806,00000000
1204.36,259.041,00000000
1204.37,256.835,00000000
1204.38,255.512,00000000
1204.39,254.189,00000000
1204.4,256.835,00000000
1204.41,259.482,00000000
1204.42,262.131,00000000
1204.43,258.600,00000000
1204.44,260.365,00000000
1204.45,258.600,00000000
1204.46,258.159,00000000
1204.47,257.717,00000000
1204.48,257.276,00000000
1204.49,258.159,00000000
1204.5,259.041,00000000
1204.51,259.041,00000000
1204.52,259.924,00000000
1204.53,258.159,00000000
1204.54,257.717,00000000
1204.55,256.835,00000000
1204.56,253.748,00000000
1204.57,251.545,00000000
1204.58,251.985,00000000
1204.59,253.308,00000000
1204.6,255.512,00000000
1204.61,254.189,00000000
1204.62,255.512,00000000
1204.63,254.189,00000000
1204.64,254.189,00000000
1204.65,254.630,00000000
1204.66,255.071,00000000
1204.67,256.394,00000000
1204.68,257.717,00000000
1204.69,261.689,00000000
1204.7,260.365,00000000
1204.71,258.159,00000000
1204.72,259.482,00000000
1204.73,258.159,00000000
1204.74,256.394,00000000
1204.75,254.630,00000000
1204.76,254.189,00000000
1204.77,255.071,00000000
1204.78,255.953,00000000
1204.79,258.600,00000000
1204.8,258.600,00000000
1204.81,259.041,00000000
1204.82,258.600,00000000
1204.83,257.276,00000000
1204.84,257.276,00000000
1204.85,259.041,00000000
